step,loss
1000,0.11017714251577854
2000,0.025155792930163443
3000,0.02326390521787107
4000,0.022934151379391553
5000,0.023061061867512764
6000,0.022690770911052822
7000,0.022035090522840618
8000,0.020661627779714763
9000,0.019779449987225233
10000,0.0190048274314031
11000,0.01860963455401361
12000,0.01824537798669189
13000,0.01795225044991821
14000,0.017856944740749895
15000,0.01774157461617142
16000,0.017477022430859506
17000,0.01748373953439295
18000,0.016598497174680232
19000,0.016400402993895113
20000,0.015979073476046324
21000,0.01579193173442036
22000,0.015629840169101954
23000,0.015559135230258108
24000,0.015479268869385124
